tag,status,category,post_count,alias_candidates,raw_variants,locations
air_cleaning_kiss,not_in_snapshot,,,[],"[""Air_Cleaning_Kiss""]","[""동작 1 / 입 / 키스하다 / 입에 공기를 넣으며 키스한다""]"
air_quotes,not_in_snapshot,,,[],"[""air_quotes""]","[""동작 1 / 손 / 동작 / 손으로 강조한다""]"
airbrush,snapshot_match,0,55,[],"[""airbrush""]","[""기본 / 테마 / 도구 / 에어브러시""]"
airfield,snapshot_match,0,58,[],"[""airfield""]","[""기본 / 장소 / 이동 / 비행장""]"
airmid_teasanare,not_in_snapshot,,,[],"[""Airmid_Teasanare""]","[""작품 / 캐릭터 / 던전에서 만남을 추구하면 안 되는 걸까? / 아미드 테아사나레""]"
airport,snapshot_match,0,538,[],"[""airport""]","[""기본 / 장소 / 이동 / 공항""]"
ais_wallenstein,not_in_snapshot,,,[],"[""Ais_Wallenstein""]","[""작품 / 캐릭터 / 던전에서 만남을 추구하면 안 되는 걸까? / 아이즈 발렌슈타인""]"
aisha_belka,not_in_snapshot,,,[],"[""Aisha_Belka""]","[""작품 / 캐릭터 / 던전에서 만남을 추구하면 안 되는 걸까? / 아이샤 벨카""]"
ajirogasa,snapshot_match,0,2530,[],"[""ajirogasa""]","[""장신구 / 머리 장식 / 모자 / 밀짚모자(승려)""]"
akame,not_in_snapshot,,,[],"[""Akame""]","[""작품 / 캐릭터 / 아카메가 벤다 / 아카메""]"
akame_ga_kill!,snapshot_match,3,1279,[],"[""Akame_ga_Kill!""]","[""작품 / 작품 / 목록 / 아카메가 벤다""]"
akanbe,snapshot_match,0,2533,[],"[""akanbe""]","[""동작 1 / 손가락 / 동작 / 손가락으로 눈을 당긴다""]"
akane_owari,not_in_snapshot,,,[],"[""Akane_Owari""]","[""작품 / 캐릭터 / 단간론파 / 오와리 아카네""]"
akatsuki,not_in_snapshot,,,[],"[""Akatsuki""]","[""작품 / 캐릭터 / 로그 호라이즌 / 아카츠키""]"
akio_fudo,not_in_snapshot,,,[],"[""Akio_Fudo""]","[""작품 / 캐릭터 / 트리니티 세븐 / 후도 아키오""]"
akiza_izinski,alias_candidate_unverified,,,"[""izayoi_aki""]","[""Akiza_Izinski""]","[""작품 / 캐릭터 / 유희왕 시리즈 / 이자요이 아키""]"
albedo,alias_candidate_unverified,,,"[""albedo_(overlord)""]","[""Albedo""]","[""작품 / 캐릭터 / 오버로드 / 알베도""]"
album_cover,snapshot_match,0,10038,[],"[""album_cover""]","[""기본 / 테마 / 표지 / 앨범 표지""]"
alchemist,snapshot_match,0,87,[],"[""alchemist""]","[""인물 / 직업 / 판타지 / 연금술사""]"
alexis_rhodes,alias_candidate_unverified,,,"[""tenjouin_asuka""]","[""Alexis_Rhodes""]","[""작품 / 캐릭터 / 유희왕 시리즈 / 텐죠인 아스카""]"
alice_nakiri,not_in_snapshot,,,[],"[""Alice_Nakiri""]","[""작품 / 캐릭터 / 식극의 소마 / 나키리 아리스 ""]"
alice_zuberg,snapshot_match,4,1224,[],"[""Alice_Zuberg""]","[""작품 / 캐릭터 / 소드 아트 온라인 / 앨리스 신서시스 서티""]"
alicia_forestlight,not_in_snapshot,,,[],"[""Alicia_Forestlight""]","[""작품 / 캐릭터 / 던전에서 만남을 추구하면 안 되는 걸까? / 아라시아 포레스트라이트""]"
all_fours,snapshot_match,0,80788,[],"[""all_fours""]","[""동작 1 / 몸 / 동작 / 네 발로 서다""]"
alley,snapshot_match,0,4453,[],"[""alley""]","[""기본 / 장소 / 이동 / 골목""]"
altera,not_in_snapshot,,,[],"[""Altera""]","[""작품 / 캐릭터 / Fate/Grand order / 알테라""]"
altera_the_san(ta),not_in_snapshot,,,[],"[""Altera_the_San(ta)""]","[""작품 / 캐릭터 / Fate/Grand order / 알테라 산 타""]"
although_she_hurriedly_put_on_clothes_(meme),snapshot_match,0,217,[],"[""although_she_hurriedly_put_on_clothes_(meme)""]","[""!섹스 / 섹스 / 상황 / 여자가 섹스하고 급하게 옷을 입다""]"
alvida,not_in_snapshot,,,[],"[""Alvida""]","[""작품 / 캐릭터 / 원피스 / 알비다""]"
amazon_position,snapshot_match,0,1517,[],"[""amazon_position""]","[""!섹스 / 섹스 / 체위 / 기승위(남자의 다리를 벌려 착정한다)""]"
america,alias_candidate_unverified,,,"[""united_states""]","[""America""]","[""기본 / 장소 / 국가 / 미국""]"
american,not_in_snapshot,,,[],"[""American""]","[""인물 / 인종 / 국가 / 미국인""]"
american_cartoon,not_in_snapshot,,,[],"[""American_cartoon""]","[""기본 / 작화 / 스타일 / 미국 카툰""]"
american_comics,not_in_snapshot,,,[],"[""American_comics""]","[""기본 / 작화 / 스타일 / 미국 만화""]"
american_flag,snapshot_match,0,12212,[],"[""american_flag""]","[""기본 / 배경 / 무늬 / 미국 국기 무늬""]"
american_football_helmet,snapshot_match,0,233,[],"[""american_football_helmet""]","[""장신구 / 머리 장식 / 헬멧 / 미식축구""]"
amphitheater,not_in_snapshot,,,[],"[""amphitheater""]","[""기본 / 장소 / 유흥 / 영화관""]"
amulet,snapshot_match,0,1932,[],"[""amulet""]","[""장신구 / 목 장식 / 목걸이 / 팬던트""]"
amusement_park,snapshot_match,0,1405,[],"[""amusement_park""]","[""기본 / 장소 / 유흥 / 놀이공원""]"
anal_beads,snapshot_match,0,9699,[],"[""anal_beads""]","[""!섹스 / 도구 / 성기 / 항문 구슬""]"
anal_fingering,snapshot_match,0,4399,[],"[""anal_fingering""]","[""!섹스 / 엉덩이 / 동작 / 항문을 만지다""]"
anal_fisting,snapshot_match,0,346,[],"[""anal_fisting""]","[""!섹스 / 섹스 / 애무 / 주먹을 항문에 넣다""]"
anal_object_insertion,snapshot_match,0,20110,[],"[""anal_object_insertion""]","[""!섹스 / 섹스 / 항문 / 항문에 물건을 삽입했다""]"
anal_tail,snapshot_match,0,8218,[],"[""anal_tail""]","[""!섹스 / 도구 / 성기 / 항문 꼬리""]"
anastasia,not_in_snapshot,,,[],"[""Anastasia""]","[""작품 / 캐릭터 / Fate/Grand order / 아나스타샤""]"
anastasia-l,not_in_snapshot,,,[],"[""Anastasia-L""]","[""작품 / 캐릭터 / 트리니티 세븐 / 아나스타샤=L""]"
anastasia_&_viy,not_in_snapshot,,,[],"[""Anastasia_&_Viy""]","[""작품 / 캐릭터 / Fate/Grand order / 아나스타샤 & 비비 &""]"
android_18,snapshot_match,4,2965,[],"[""Android_18""]","[""작품 / 캐릭터 / 드래곤볼 / 인조인간 18호""]"
android_21_evil,not_in_snapshot,,,[],"[""Android_21_Evil""]","[""작품 / 캐릭터 / 드래곤볼 / 인조인간 21호""]"
android_21_good,not_in_snapshot,,,[],"[""Android_21_Good""]","[""작품 / 캐릭터 / 드래곤볼 /  인조인간 21호""]"
angel,snapshot_match,0,30577,[],"[""Angel""]","[""인물 / 종족 / 판타지 / 천사""]"
angel_wings,snapshot_match,0,58205,[],"[""Angel_wings""]","[""체형 / 날개 / 종류 / 천사 날개""]"
angelene,snapshot_match,4,67,[],"[""Angelene""]","[""작품 / 캐릭터 / 어떤 마술과학의 시리즈 / 안젤레네""]"
angie_yonaga,not_in_snapshot,,,[],"[""Angie_Yonaga""]","[""작품 / 캐릭터 / 단간론파 / 요나가 안지""]"
angry_face,not_in_snapshot,,,[],"[""Angry_face""]","[""동작 1 / 얼굴 / 표정 / 화난 표정""]"
anilingus,snapshot_match,0,3426,[],"[""anilingus""]","[""!섹스 / 섹스 / 오랄 / 입으로 항문을 빨다""]"
animal_ears,snapshot_match,0,1759213,[],"[""animal_ears""]","[""외모 / 귀 / 모양 / 동물귀""]"
animated_music,not_in_snapshot,,,[],"[""Animated_music""]","[""기본 / 테마 / 음악 / 애니메이션 음악""]"
animation,alias_candidate_unverified,,,"[""animated""]","[""animation""]","[""기본 / 작화 / 스타일 / 애니메이션""]"
anime_art_style,not_in_snapshot,,,[],"[""anime_art_style""]","[""기본 / 작화 / 화풍 / 애니메이션""]"
anime_screencap,alias_candidate_unverified,,,"[""anime_screenshot""]","[""anime_screencap""]","[""기본 / 작화 / 화풍 / 애니메이션""]"
ankle_boots,snapshot_match,0,25097,[],"[""ankle_boots""]","[""의상 / 신발 / 부츠 / 발목 부츠""]"
ankle_socks,snapshot_match,0,10761,[],"[""ankle_socks""]","[""의상 / 속옷 / 양말 / 발목 양말""]"
ankle_wings,snapshot_match,0,853,[],"[""ankle_wings""]","[""체형 / 날개 / 모양 / 날개가 발목에 있다""]"
anko_mitarashi,not_in_snapshot,,,[],"[""Anko_Mitarashi""]","[""작품 / 캐릭터 / 나루토 / 미타라시 앙코""]"
anne_bonny_&_mary_read,not_in_snapshot,,,[],"[""Anne_Bonny_&_Mary_Read""]","[""작품 / 캐릭터 / Fate/Grand order / 앤 보니 & 메리 리드""]"
anne_bonny_&_mary_read_(archer),not_in_snapshot,,,[],"[""Anne_Bonny_&_Mary_Read_(Archer)""]","[""작품 / 캐릭터 / Fate/Grand order / 앤 보니 & 메리 리드 수영복""]"
annie_leonhart,snapshot_match,4,1231,[],"[""Annie_Leonhart""]","[""작품 / 캐릭터 / 진격의 거인 / 애니 레온한트""]"
ansatsu_kyoushitsu,snapshot_match,3,929,[],"[""Ansatsu_Kyoushitsu""]","[""작품 / 작품 / 목록 / 암살교실""]"
anti-eyebrow_piercing,snapshot_match,0,434,[],"[""Anti-eyebrow_piercing""]","[""장신구 / 기타 / 피어싱 / 눈썹 아래 피어싱""]"
anvil_position,not_in_snapshot,,,[],"[""anvil_position""]","[""!섹스 / 섹스 / 체위 / 굴곡위""]"
anya_forger,not_in_snapshot,,,[],"[""Anya_Forger""]","[""작품 / 캐릭터 / 스파이 패밀리 / 아냐 포저""]"
anya_fromel,not_in_snapshot,,,[],"[""Anya_Fromel""]","[""작품 / 캐릭터 / 던전에서 만남을 추구하면 안 되는 걸까? / 아냐 프로멜""]"
anzu_mazaki,not_in_snapshot,,,[],"[""Anzu_Mazaki""]","[""작품 / 캐릭터 / 유희왕 시리즈 / 미사카 안즈""]"
ao_no_exorcist,snapshot_match,3,1004,[],"[""Ao_no_Exorcist""]","[""작품 / 작품 / 목록 / 청의 엑소시스트""]"
aoi_asahina,not_in_snapshot,,,[],"[""Aoi_Asahina""]","[""작품 / 캐릭터 / 단간론파 / 아사히나 아오이""]"
aoi_kunieda,not_in_snapshot,,,[],"[""Aoi_Kunieda""]","[""작품 / 캐릭터 / 벨제부브 / 쿠니에다 아오이""]"
apartment,snapshot_match,0,2115,[],"[""apartment""]","[""기본 / 장소 / 가정 / 아파트""]"
aphrodisiac,snapshot_match,0,692,[],"[""aphrodisiac""]","[""!섹스 / 도구 / 액체 / 최음제""]"
apologizing,snapshot_match,0,905,[],"[""apologizing""]","[""행동 / 동사 / 동사 ㅅ / 누군가 사과하다""]"
applying_makeup,snapshot_match,0,3251,[],"[""applying_makeup""]","[""동작 1 / 얼굴 / 화장하다 / 화장하다""]"
apron,snapshot_match,0,308559,[],"[""apron""]","[""의상 / 상의 / 겉옷 / 앞치마""]"
aquarium,snapshot_match,0,2161,[],"[""aquarium""]","[""기본 / 장소 / 유흥 / 수족관""]"
aqueduct,snapshot_match,0,89,[],"[""aqueduct""]","[""기본 / 장소 / 건축물 / 수로""]"
aquiline_nose,snapshot_match,0,1067,[],"[""aquiline_nose""]","[""외모 / 코 / 모양 / 코가 메부리코다""]"
arachne_gorgon,not_in_snapshot,,,[],"[""Arachne_Gorgon""]","[""작품 / 캐릭터 / 소울 이터 / 아라크네 고르곤""]"
aran_sweater,snapshot_match,0,5642,[],"[""aran_sweater""]","[""의상 / 상의 / 스웨터 / 털 있는 스웨터""]"
arba,not_in_snapshot,,,[],"[""Arba""]","[""작품 / 캐릭터 / 마기 / 아르바""]"
arcade,snapshot_match,0,1050,[],"[""arcade""]","[""기본 / 장소 / 유흥 / 게임장""]"
arcanepunk,not_in_snapshot,,,[],"[""Arcanepunk""]","[""기본 / 테마 / 장르 / 아케인펑크""]"
arched_back,snapshot_match,0,24842,[],"[""arched_back""]","[""동작 1 / 몸 / 기울이다 / 등이 휘었다""]"
arena,snapshot_match,0,327,[],"[""arena""]","[""기본 / 장소 / 유흥 / 투기장""]"
areola_piercing,snapshot_match,0,258,[],"[""areola_piercing""]","[""!섹스 / 도구 / 성기 / 유륜 피어싱""]"
areola_slip,snapshot_match,0,75887,[],"[""areola_slip""]","[""의상 / 의상 / 특징 / 옷의 유륜을 노출하다""]"
argentina,snapshot_match,0,381,[],"[""Argentina""]","[""기본 / 장소 / 국가 / 아르헨티나""]"
argentines,not_in_snapshot,,,[],"[""Argentines""]","[""인물 / 인종 / 국가 / 아르헨티나인""]"
argyle,not_in_snapshot,,,[],"[""argyle""]","[""기본 / 배경 / 무늬 / 아가일 무늬""]"
aries,not_in_snapshot,,,[],"[""Aries""]","[""작품 / 캐릭터 / 페어리테일 / 아리에스""]"
arin_kannazuki,not_in_snapshot,,,[],"[""Arin_Kannazuki""]","[""작품 / 캐릭터 / 트리니티 세븐 / 칸나즈키 아린""]"
arm_around_neck,snapshot_match,0,7657,[],"[""arm_around_neck""]","[""동작 1 / 목 / 동작 / 목에 한쪽 팔을 감다""]"
arm_behind_back,snapshot_match,0,54712,[],"[""arm_behind_back""]","[""동작 1 / 팔 / 동작 / 팔 한쪽을 뒤로 들다""]"
arm_behind_head,snapshot_match,0,51892,[],"[""arm_behind_head""]","[""동작 1 / 팔 / 동작 / 팔을 머리 위로 들다""]"
arm_between_breasts,snapshot_match,0,2597,[],"[""arm_between_breasts""]","[""동작 1 / 가슴 / 끼우다 / 가슴 사이에 팔을 끼우다""]"
arm_cutout,snapshot_match,0,3916,[],"[""arm_cutout""]","[""의상 / 의상 / 특징 / 옷의 팔을 노출하다""]"
arm_grab,not_in_snapshot,,,[],"[""Arm_grab""]","[""동작 1 / 팔 / 잡는다 / 강제로 팔을 뒤로 잡는다""]"
arm_hug,snapshot_match,0,7894,[],"[""arm_hug""]","[""동작 1 / 몸 / 껴안다 / 팔로 껴안다""]"
arm_up,snapshot_match,0,305941,[],"[""arm_up""]","[""동작 1 / 팔 / 동작 / 팔을 위로 들다""]"
armored_boots,snapshot_match,0,25051,[],"[""armored_boots""]","[""의상 / 신발 / 부츠 / 보호 부츠""]"
armored_legwear,snapshot_match,0,569,[],"[""armored_legwear""]","[""의상 / 속옷 / 양말 / 보호하는 양말""]"
armory,snapshot_match,0,55,[],"[""armory""]","[""기본 / 장소 / 가게 / 무기창고""]"
armpit_cutout,snapshot_match,0,2727,[],"[""armpit_cutout""]","[""의상 / 의상 / 특징 / 옷의 겨드랑이를 노출하다""]"
armpit_focus,snapshot_match,0,4325,[],"[""armpit_focus""]","[""기본 / 초점 / 집중 / 겨드랑이에 집중한다""]"
armpit_sex,snapshot_match,0,1266,[],"[""armpit_sex""]","[""!섹스 / 섹스 / 자지 / 자지를 겨드랑이에 비빈다""]"
arms_around_neck,snapshot_match,0,11861,[],"[""arms_around_neck""]","[""동작 1 / 목 / 동작 / 목에 양쪽 팔을 감다""]"
arms_behind_back,snapshot_match,0,125108,[],"[""arms_behind_back""]","[""동작 1 / 팔 / 동작 / 팔 양쪽을 뒤로 들다""]"
aroused_face,not_in_snapshot,,,[],"[""aroused_face""]","[""동작 1 / 얼굴 / 표정 / 흥분한 표정""]"
arrogant_face,not_in_snapshot,,,[],"[""arrogant_face""]","[""동작 1 / 얼굴 / 표정 / 오만한 표정""]"
art_deco,snapshot_match,0,96,[],"[""art_deco""]","[""기본 / 테마 / 미술 / 아르데코""]"
art_gallery,snapshot_match,0,166,[],"[""art_gallery""]","[""기본 / 장소 / 유흥 / 미술관""]"
art_nouveau,snapshot_match,0,1960,[],"[""art_nouveau""]","[""기본 / 테마 / 미술 / 아르누보""]"
artificial_vagina,alias_candidate_unverified,,,"[""onahole""]","[""artificial_vagina""]","[""!섹스 / 도구 / 자위 / 인공 보지""]"
artificial_wings,snapshot_match,0,108,[],"[""artificial_wings""]","[""체형 / 날개 / 종류 / 인공 날개""]"
artist,not_in_snapshot,,,[],"[""artist""]","[""인물 / 직업 / 예술 / 예술가""]"
artoria_caster,not_in_snapshot,,,[],"[""Artoria_Caster""]","[""작품 / 캐릭터 / Fate/Grand order / 아르토리아 캐스터""]"
artoria_pendragon,not_in_snapshot,,,[],"[""Artoria_Pendragon""]","[""작품 / 캐릭터 / Fate/Grand order / 아르토리아 펜드래곤""]"
artoria_pendragon_(alter),not_in_snapshot,,,[],"[""Artoria_Pendragon_(Alter)""]","[""작품 / 캐릭터 / Fate/Grand order / 아르토리아 펜드래곤 얼터""]"
artoria_pendragon_(lancer),alias_candidate_unverified,,,"[""artoria_pendragon_(lancer)_(fate)""]","[""Artoria_Pendragon_(Lancer)""]","[""작품 / 캐릭터 / Fate/Grand order / 아르토리아 펜드래곤 랜서""]"
artoria_pendragon_(lancer_alter),alias_candidate_unverified,,,"[""artoria_pendragon_(lancer_alter)_(fate)""]","[""Artoria_Pendragon_(Lancer_Alter)""]","[""작품 / 캐릭터 / Fate/Grand order / 아르토리아 펜드래곤 랜서 얼터""]"
